County Name,Median Home Price Q2 2017,Monthly Payment (r=4.5%),Monthly Payment (r=5.0%),Monthly Payment (r=5.5%)
Elkhart County,"154,876",706,748,791
Fayette County,"87,493",399,423,447
Floyd County,"183,232",836,885,936
Fountain County,"100,499",458,486,514
Franklin County,"164,181",749,793,839
Fulton County,"100,606",459,486,514
Gibson County,"111,515",509,539,570
Grant County,"107,056",488,517,547
Greene County,"107,027",488,517,547
Hamilton County,"292,191","1,332","1,412","1,493"
Hancock County,"175,972",802,850,899
Harrison County,"146,414",668,707,748
Hendricks County,"204,698",933,989,"1,046"
Henry County,"101,896",465,492,521
Howard County,"108,941",497,526,557
Huntington County,"110,388",503,533,564
Jackson County,"123,178",562,595,629
Jasper County,"161,208",735,779,824
Jay County,"91,363",417,441,467
Jefferson County,"128,983",588,623,659
Jennings County,"107,378",490,519,549
Johnson County,"180,577",823,872,923
Knox County,"93,727",427,453,479
Kosciusko County,"166,495",759,804,851
LaGrange County,"185,412",846,896,947
Lake County,"154,894",706,748,792
LaPorte County,"139,943",638,676,715
Lawrence County,"117,374",535,567,600
Marion County,"150,646",687,728,770
Marshall County,"139,839",638,676,715
Martin County,"105,228",480,508,538
Miami County,"91,900",419,444,470
Monroe County,"191,734",874,926,980
Montgomery County,"127,263",580,615,650
Morgan County,"179,371",818,867,917
Newton County,"118,380",540,572,605
Noble County,"123,071",561,595,629
Ohio County,"153,609",700,742,785
Orange County,"97,167",443,469,497
Owen County,"122,986",561,594,628
Indiana,,,,
Parke County,"93,190",425,450,476
Perry County,"110,710",505,535,566
Pike County,"95,985",438,464,490
Porter County,"199,721",911,965,"1,021"
Posey County,"146,437",668,707,748
Pulaski County,"99,532",454,481,509
Putnam County,"131,897",601,637,674
Randolph County,"85,451",390,413,437
Ripley County,"149,942",684,724,766
Rush County,"107,485",490,519,549
St. Joseph County,"140,149",639,677,716
Scott County,"106,196",484,513,543
Shelby County,"137,379",626,664,702
Spencer County,"126,725",578,612,648
Starke County,"109,205",498,528,558
Steuben County,"146,503",668,708,749
Sullivan County,"87,705",400,424,448
Switzerland County,"122,856",560,594,628
Tippecanoe County,"163,508",746,790,836
Tipton County,"121,991",556,589,623
Union County,"118,127",539,571,604
Vanderburgh County,"138,946",634,671,710
Vermillion County,"80,875",369,391,413
Vigo County,"101,799",464,492,520
Wabash County,"103,938",474,502,531
Warren County,"120,921",551,584,618
Warrick County,"166,798",761,806,852
Washington County,"113,997",520,551,583
Wayne County,"113,827",519,550,582
Wells County,"133,705",610,646,683
White County,"113,720",519,549,581
Whitley County,"145,418",663,703,743
Adair County,"98,435",449,476,503
Adams County,"89,668",409,433,458
Allamakee County,"129,697",591,627,663
Appanoose County,"82,381",376,398,421
Audubon County,"72,664",331,351,371
Benton County,"155,504",709,751,795
Black Hawk County,"162,020",739,783,828
Boone County,"137,830",629,666,704
Bremer County,"163,922",748,792,838
Buchanan County,"139,942",638,676,715
Buena Vista County,"117,340",535,567,600
Butler County,"118,396",540,572,605
Calhoun County,"82,170",375,397,420
Carroll County,"134,556",614,650,688
Cass County,"98,857",451,478,505
Indiana Iowa,,,,
Cedar County,"151,877",693,734,776
Cerro Gordo County,"128,324",585,620,656
Cherokee County,"94,210",430,455,481
Chickasaw County,"111,003",506,536,567
Clarke County,"110,897",506,536,567
Clay County,"122,198",557,590,624
Clayton County,"123,043",561,594,629
Clinton County,"118,713",541,574,607
Crawford County,"98,646",450,477,504
Dallas County,"258,355","1,178","1,248","1,320"
Davis County,"115,228",525,557,589
Decatur County,"80,585",367,389,412
Delaware County,"133,077",607,643,680
Des Moines County,"107,095",488,517,547
Dickinson County,"185,780",847,898,949
Dubuque County,"176,332",804,852,901
Emmet County,"90,513",413,437,463
Fayette County,"95,900",437,463,490
Floyd County,"108,151",493,523,553
Franklin County,"91,992",419,444,470
Fremont County,"105,828",483,511,541
Greene County,"93,893",428,454,480
Grundy County,"137,289",626,663,702
Guthrie County,"119,568",545,578,611
Hamilton County,"104,455",476,505,534
Hancock County,"103,082",470,498,527
Hardin County,"96,428",440,466,493
Harrison County,"116,842",533,565,597
Henry County,"113,960",520,551,582
Howard County,"113,749",519,550,581
Humboldt County,"99,174",452,479,507
Ida County,"97,062",443,469,496
Iowa County,"151,982",693,734,777
Jackson County,"123,571",564,597,631
Jasper County,"129,697",591,627,663
Jefferson County,"120,720",551,583,617
Johnson County,"240,534","1,097","1,162","1,229"
Jones County,"137,513",627,664,703
Keokuk County,"88,401",403,427,452
Kossuth County,"110,158",502,532,563
Lee County,"95,266",434,460,487
Linn County,"165,815",756,801,847
Louisa County,"110,052",502,532,562
Lucas County,"89,668",409,433,458
Lyon County,"132,232",603,639,676
Madison County,"170,325",777,823,870
Mahaska County,"116,284",530,562,594
Iowa,,,,
Marion County,"155,151",708,750,793
Marshall County,"110,475",504,534,565
Mills County,"170,485",777,824,871
Mitchell County,"118,607",541,573,606
Monona County,"89,035",406,430,455
Monroe County,"104,666",477,506,535
Montgomery County,"86,394",394,417,441
Muscatine County,"135,295",617,654,691
O'Brien County,"114,066",520,551,583
Osceola County,"94,527",431,457,483
Page County,"92,520",422,447,473
Palo Alto County,"103,610",472,501,529
Plymouth County,"158,636",723,766,811
Pocahontas County,"77,523",354,375,396
Polk County,"191,881",875,927,981
Pottawattamie County,"153,653",701,742,785
Poweshiek County,"138,463",631,669,708
Ringgold County,"84,071",383,406,430
Sac County,"93,048",424,450,475
Scott County,"164,080",748,793,838
Shelby County,"117,974",538,570,603
Sioux County,"162,438",741,785,830
Story County,"208,201",949,"1,006","1,064"
Tama County,"111,214",507,537,568
Taylor County,"80,374",367,388,411
Union County,"99,596",454,481,509
Van Buren County,"87,345",398,422,446
Wapello County,"85,549",390,413,437
Warren County,"182,006",830,879,930
Washington County,"149,165",680,721,762
Wayne County,"78,896",360,381,403
Webster County,"100,653",459,486,514
Winnebago County,"99,702",455,482,509
Winneshiek County,"170,571",778,824,872
Woodbury County,"132,455",604,640,677
Worth County,"103,504",472,500,529
Wright County,"83,648",381,404,427
Allen County,"81,121",370,392,415
Anderson County,"91,028",415,440,465
Atchison County,"95,879",437,463,490
Barber County,"78,024",356,377,399
Barton County,"90,409",412,437,462
Bourbon County,"85,249",389,412,436
Brown County,"86,591",395,418,442
Butler County,"163,168",744,788,834
Chase County,"87,932",401,425,449
Chautauqua County,"65,330",298,316,334
Iowa Kansas,,,,
Cherokee County,"80,914",369,391,413
Cheyenne County,"89,377",408,432,457
Clark County,"78,850",360,381,403
Clay County,"103,413",472,500,528
Cloud County,"75,547",345,365,386
Coffey County,"114,560",522,553,585
Comanche County,"75,547",345,365,386
Cowley County,"88,448",403,427,452
Crawford County,"90,100",411,435,460
Decatur County,"65,433",298,316,334
Dickinson County,"114,250",521,552,584
Doniphan County,"106,624",486,515,545
Douglas County,"224,812","1,025","1,086","1,149"
Edwards County,"63,163",288,305,323
Elk County,"49,849",227,241,255
Ellis County,"164,512",750,795,841
Ellsworth County,"91,338",417,441,467
Finney County,"130,247",594,629,666
Ford County,"111,876",510,541,572
Franklin County,"133,760",610,646,684
Geary County,"146,955",670,710,751
Gove County,"81,430",371,393,416
Graham County,"71,832",328,347,367
Grant County,"106,097",484,513,542
Gray County,"121,681",555,588,622
Greeley County,"88,861",405,429,454
Greenwood County,"63,059",288,305,322
Hamilton County,"89,584",409,433,458
Harper County,"68,839",314,333,352
Harvey County,"127,854",583,618,653
Haskell County,"105,890",483,512,541
Hodgeman County,"89,480",408,432,457
Jackson County,"134,007",611,647,685
Jefferson County,"142,062",648,686,726
Jewell County,"55,422",253,268,283
Johnson County,"280,489","1,279","1,355","1,433"
Kearny County,"101,349",462,490,518
Kingman County,"95,157",434,460,486
Kiowa County,"138,091",630,667,706
Labette County,"77,302",353,373,395
Lane County,"78,850",360,381,403
Leavenworth County,"195,199",890,943,997
Lincoln County,"71,110",324,344,363
Linn County,"98,259",448,475,502
Logan County,"85,765",391,414,438
Lyon County,"101,659",464,491,519
McPherson County,"144,799",660,700,740
Kansas,,,,
Marion County,"83,907",383,405,429
Marshall County,"96,395",440,466,493
Meade County,"91,544",417,442,468
Miami County,"199,046",908,962,"1,017"
Mitchell County,"88,448",403,427,452
Montgomery County,"76,373",348,369,390
Morris County,"98,150",448,474,502
Morton County,"100,833",460,487,515
Nemaha County,"120,236",548,581,614
Neosho County,"79,779",364,385,408
Ness County,"72,761",332,352,372
Norton County,"76,063",347,367,389
Osage County,"112,143",511,542,573
Osborne County,"63,266",289,306,323
Ottawa County,"101,762",464,492,520
Pawnee County,"78,024",356,377,399
Phillips County,"79,366",362,383,406
Pottawatomie County,"175,331",800,847,896
Pratt County,"90,409",412,437,462
Rawlins County,"84,320",385,407,431
Reno County,"99,698",455,482,509
Republic County,"62,440",285,302,319
Rice County,"77,199",352,373,394
Riley County,"208,057",949,"1,005","1,063"
Rooks County,"77,818",355,376,398
Rush County,"72,142",329,349,369
Russell County,"92,989",424,449,475
Saline County,"129,421",590,625,661
Scott County,"140,258",640,678,717
Sedgwick County,"150,616",687,728,770
Seward County,"101,659",464,491,519
Shawnee County,"137,145",625,663,701
Sheridan County,"104,239",475,504,533
Sherman County,"89,068",406,430,455
Smith County,"68,323",312,330,349
Stafford County,"63,782",291,308,326
Stanton County,"74,206",338,359,379
Stevens County,"113,528",518,548,580
Sumner County,"92,327",421,446,472
Thomas County,"117,656",537,568,601
Trego County,"87,107",397,421,445
Wabaunsee County,"117,060",534,566,598
Wallace County,"91,132",416,440,466
Washington County,"77,715",354,375,397
Wichita County,"86,694",395,419,443
Wilson County,"68,839",314,333,352
Woodson County,"54,906",250,265,281
Kansas,,,,
Wyandotte County,"119,142",543,576,609
Adair County,"90,555",413,438,463
Allen County,"108,054",493,522,552
Anderson County,"146,111",666,706,747
Ballard County,"108,160",493,523,553
Barren County,"116,382",531,562,595
Bath County,"82,121",374,397,420
Bell County,"62,619",286,303,320
Boone County,"206,574",942,998,"1,056"
Bourbon County,"156,812",715,758,801
Boyd County,"105,328",480,509,538
Boyle County,"148,746",678,719,760
Bracken County,"110,353",503,533,564
Breathitt County,"52,709",240,255,269
Breckinridge County,"100,359",458,485,513
Bullitt County,"176,684",806,854,903
Butler County,"95,299",435,460,487
Caldwell County,"100,464",458,485,513
Calloway County,"137,150",625,663,701
Campbell County,"194,708",888,941,995
Carlisle County,"94,034",429,454,481
Carroll County,"109,425",499,529,559
Carter County,"87,814",400,424,449
Casey County,"81,805",373,395,418
Christian County,"136,786",624,661,699
Clark County,"150,644",687,728,770
Clay County,"58,613",267,283,300
Clinton County,"69,682",318,337,356
Crittenden County,"89,184",407,431,456
Cumberland County,"95,193",434,460,486
Daviess County,"144,685",660,699,739
Edmonson County,"92,601",422,447,473
Elliott County,"76,640",349,370,392
Estill County,"74,847",341,362,382
Fayette County,"208,975",953,"1,010","1,068"
Fleming County,"94,772",432,458,484
Floyd County,"76,850",350,371,393
Franklin County,"146,848",670,709,750
Fulton County,"67,046",306,324,343
Gallatin County,"118,551",541,573,606
Garrard County,"138,099",630,667,706
Grant County,"129,122",589,624,660
Graves County,"100,780",460,487,515
Grayson County,"107,738",491,521,551
Green County,"79,907",364,386,408
Greenup County,"104,720",478,506,535
Hancock County,"115,896",529,560,592
Kansas Kentucky,,,,
Hardin County,"158,752",724,767,811
Harlan County,"56,399",257,272,288
Harrison County,"140,102",639,677,716
Hart County,"95,088",434,459,486
Henderson County,"124,492",568,601,636
Henry County,"135,357",617,654,692
Hickman County,"74,004",337,358,378
Hopkins County,"101,835",464,492,520
Jackson County,"73,688",336,356,377
Jefferson County,"187,203",854,904,957
Jessamine County,"177,807",811,859,909
Johnson County,"95,193",434,460,486
Kenton County,"171,732",783,830,878
Knott County,"54,818",250,265,280
Knox County,"81,067",370,392,414
Larue County,"112,659",514,544,576
Laurel County,"107,527",490,520,549
Lawrence County,"84,757",387,409,433
Lee County,"67,679",309,327,346
Leslie County,"51,550",235,249,263
Letcher County,"61,670",281,298,315
Lewis County,"72,001",328,348,368
Lincoln County,"101,308",462,489,518
Livingston County,"95,720",437,462,489
Logan County,"111,111",507,537,568
Lyon County,"129,560",591,626,662
McCracken County,"156,442",713,756,799
McCreary County,"64,622",295,312,330
McLean County,"102,830",469,497,525
Madison County,"168,354",768,813,860
Magoffin County,"66,730",304,322,341
Marion County,"105,841",483,511,541
Marshall County,"124,500",568,602,636
Martin County,"69,049",315,334,353
Mason County,"117,226",535,566,599
Meade County,"151,137",689,730,772
Menifee County,"82,016",374,396,419
Mercer County,"147,481",673,713,754
Metcalfe County,"79,275",362,383,405
Monroe County,"78,537",358,379,401
Montgomery County,"124,605",568,602,637
Morgan County,"81,700",373,395,417
Muhlenberg County,"86,443",394,418,442
Nelson County,"155,430",709,751,794
Nicholas County,"86,549",395,418,442
Ohio County,"93,085",424,450,476
Oldham County,"308,928","1,409","1,493","1,579"
Kentucky,,,,
Owen County,"104,470",476,505,534
Owsley County,"73,793",337,357,377
Pendleton County,"114,775",523,555,587
Perry County,"77,272",352,373,395
Pike County,"79,486",362,384,406
Powell County,"84,124",384,406,430
Pulaski County,"115,012",524,556,588
Robertson County,"99,621",454,481,509
Rockcastle County,"85,178",388,412,435
Rowan County,"127,662",582,617,652
Russell County,"92,031",420,445,470
Scott County,"184,841",843,893,945
Shelby County,"198,474",905,959,"1,014"
Simpson County,"137,572",627,665,703
Spencer County,"204,915",934,990,"1,047"
Taylor County,"112,482",513,543,575
Todd County,"99,937",456,483,511
Trigg County,"133,110",607,643,680
Trimble County,"118,612",541,573,606
Union County,"87,603",399,423,448
Warren County,"177,121",808,856,905
Washington County,"111,322",508,538,569
Wayne County,"85,811",391,415,439
Webster County,"85,245",389,412,436
Whitley County,"88,341",403,427,451
Wolfe County,"69,260",316,335,354
Woodford County,"203,672",929,984,"1,041"
Acadia Parish,"100,856",460,487,515
Allen Parish,"87,719",400,424,448
Ascension Parish,"220,203","1,004","1,064","1,125"
Assumption Parish,"118,544",541,573,606
Avoyelles Parish,"93,718",427,453,479
Beauregard Parish,"119,165",543,576,609
Bienville Parish,"78,616",359,380,402
Bossier Parish,"170,265",776,823,870
Caddo Parish,"148,882",679,719,761
Calcasieu Parish,"175,572",801,848,897
Caldwell Parish,"70,134",320,339,358
Cameron Parish,"117,365",535,567,600
Catahoula Parish,"81,409",371,393,416
Claiborne Parish,"76,650",350,370,392
Concordia Parish,"81,202",370,392,415
De Soto Parish,"109,913",501,531,562
East Baton Rouge Parish,"199,540",910,964,"1,020"
East Carroll Parish,"70,547",322,341,361
East Feliciana Parish,"129,513",591,626,662
Evangeline Parish,"93,098",425,450,476
Kentucky Louisiana,,,,
Franklin Parish,"86,064",392,416,440
Grant Parish,"95,302",435,460,487
Iberia Parish,"126,820",578,613,648
Iberville Parish,"133,061",607,643,680
Jackson Parish,"87,305",398,422,446
Jefferson Parish,"191,973",875,927,981
Jefferson Davis Parish,"105,304",480,509,538
Lafayette Parish,"189,276",863,914,967
Lafourche Parish,"156,766",715,757,801
LaSalle Parish,"79,340",362,383,405
Lincoln Parish,"150,922",688,729,771
Livingston Parish,"170,318",777,823,870
Madison Parish,"66,306",302,320,339
Morehouse Parish,"87,822",400,424,449
Natchitoches Parish,"118,027",538,570,603
Orleans Parish,"237,027","1,081","1,145","1,211"
Ouachita Parish,"158,589",723,766,810
Plaquemines Parish,"172,620",787,834,882
Pointe Coupee Parish,"129,930",593,628,664
Rapides Parish,"144,785",660,700,740
Red River Parish,"88,857",405,429,454
Richland Parish,"89,891",410,434,459
Sabine Parish,"87,098",397,421,445
St. Bernard Parish,"144,838",660,700,740
St. Charles Parish,"193,326",882,934,988
St. Helena Parish,"80,776",368,390,413
St. James Parish,"141,095",643,682,721
St. John the Baptist Parish,"158,989",725,768,812
St. Landry Parish,"112,855",515,545,577
St. Martin Parish,"114,975",524,555,588
St. Mary Parish,"100,339",458,485,513
St. Tammany Parish,"222,980","1,017","1,077","1,139"
Tangipahoa Parish,"162,921",743,787,833
Tensas Parish,"64,341",293,311,329
Terrebonne Parish,"151,454",691,732,774
Union Parish,"92,973",424,449,475
Vermilion Parish,"109,338",499,528,559
Vernon Parish,"120,613",550,583,616
Washington Parish,"87,512",399,423,447
Webster Parish,"84,409",385,408,431
West Baton Rouge Parish,"184,720",842,892,944
West Carroll Parish,"82,133",375,397,420
West Feliciana Parish,"218,742",998,"1,057","1,118"
Winn Parish,"75,202",343,363,384
Androscoggin County,"165,103",753,798,844
Aroostook County,"104,510",477,505,534
Cumberland County,"294,008","1,341","1,420","1,502"
Louisiana Maine,,,,
Franklin County,"141,036",643,681,721
Hancock County,"214,504",978,"1,036","1,096"
Kennebec County,"168,768",770,815,862
Knox County,"206,536",942,998,"1,055"
Lincoln County,"219,263","1,000","1,059","1,120"
Oxford County,"141,968",647,686,725
Penobscot County,"143,831",656,695,735
Piscataquis County,"120,134",548,580,614
Sagadahoc County,"214,430",978,"1,036","1,096"
Somerset County,"111,753",510,540,571
Waldo County,"165,353",754,799,845
Washington County,"113,822",519,550,582
York County,"266,694","1,216","1,289","1,363"
Allegany County,"113,677",518,549,581
Anne Arundel County,"375,376","1,712","1,814","1,918"
Baltimore County,"270,641","1,234","1,308","1,383"
Calvert County,"377,143","1,720","1,822","1,927"
Caroline County,"212,183",968,"1,025","1,084"
Carroll County,"350,885","1,600","1,695","1,793"
Cecil County,"253,944","1,158","1,227","1,298"
Charles County,"337,455","1,539","1,630","1,724"
Dorchester County,"189,088",862,914,966
Frederick County,"354,540","1,617","1,713","1,812"
Garrett County,"176,222",804,851,901
Harford County,"304,823","1,390","1,473","1,558"
Howard County,"463,227","2,112","2,238","2,367"
Kent County,"250,359","1,142","1,210","1,279"
Montgomery County,"507,032","2,312","2,450","2,591"
Prince George's County,"318,036","1,450","1,537","1,625"
Queen Anne's County,"357,659","1,631","1,728","1,828"
St. Mary's County,"310,049","1,414","1,498","1,584"
Somerset County,"136,400",622,659,697
Talbot County,"344,112","1,569","1,663","1,758"
Washington County,"234,256","1,068","1,132","1,197"
Wicomico County,"174,301",795,842,891
Worcester County,"265,862","1,212","1,284","1,359"
Baltimore city,"160,905",734,777,822
Barnstable County,"436,005","1,988","2,107","2,228"
Bristol County,"327,444","1,493","1,582","1,673"
Dukes County,"709,166","3,234","3,426","3,624"
Essex County,"436,610","1,991","2,109","2,231"
Hampden County,"223,466","1,019","1,080","1,142"
Middlesex County,"550,958","2,512","2,662","2,815"
Nantucket County,"1,046,929","4,774","5,058","5,350"
Norfolk County,"509,719","2,324","2,463","2,605"
Plymouth County,"396,341","1,807","1,915","2,025"
Suffolk County,"535,130","2,440","2,585","2,735"
Massachusetts Maine Maryland,,,,
Worcester County,"304,539","1,389","1,471","1,556"
Alcona County,"103,715",473,501,530
Alger County,"128,563",586,621,657
Allegan County,"172,858",788,835,883
Alpena County,"101,554",463,491,519
Antrim County,"163,675",746,791,836
Arenac County,"96,044",438,464,491
Baraga County,"100,582",459,486,514
Barry County,"161,183",735,779,824
Bay County,"111,250",507,537,569
Benzie County,"175,235",799,847,895
Berrien County,"163,185",744,788,834
Branch County,"105,551",481,510,539
Calhoun County,"123,882",565,599,633
Cass County,"141,256",644,682,722
Charlevoix County,"171,561",782,829,877
Cheboygan County,"126,294",576,610,645
Chippewa County,"120,028",547,580,613
Clare County,"91,831",419,444,469
Clinton County,"192,958",880,932,986
Crawford County,"99,285",453,480,507
Delta County,"114,410",522,553,585
Dickinson County,"99,501",454,481,508
Eaton County,"169,968",775,821,869
Emmet County,"184,850",843,893,945
Genesee County,"120,969",552,584,618
Gladwin County,"108,576",495,525,555
Gogebic County,"75,733",345,366,387
Grand Traverse County,"213,912",975,"1,033","1,093"
Gratiot County,"99,501",454,481,508
Hillsdale County,"114,086",520,551,583
Houghton County,"110,629",504,534,565
Huron County,"103,931",474,502,531
Ingham County,"146,434",668,707,748
Ionia County,"128,902",588,623,659
Iosco County,"96,152",438,465,491
Iron County,"82,864",378,400,423
Isabella County,"147,037",671,710,751
Jackson County,"143,156",653,692,732
Kalamazoo County,"172,856",788,835,883
Kalkaska County,"113,762",519,550,581
Kent County,"191,591",874,926,979
Keweenaw County,"103,499",472,500,529
Lake County,"87,293",398,422,446
Lapeer County,"182,073",830,880,930
Leelanau County,"268,902","1,226","1,299","1,374"
Lenawee County,"153,195",699,740,783
Michigan Massachusetts,,,,
Livingston County,"278,927","1,272","1,348","1,425"
Luce County,"89,886",410,434,459
Mackinac County,"135,153",616,653,691
Macomb County,"184,511",841,891,943
Manistee County,"125,538",572,607,642
Marquette County,"167,348",763,809,855
Mason County,"136,774",624,661,699
Mecosta County,"123,918",565,599,633
Menominee County,"103,607",472,501,529
Midland County,"151,467",691,732,774
Missaukee County,"115,707",528,559,591
Monroe County,"180,159",822,870,921
Montcalm County,"109,117",498,527,558
Montmorency County,"101,338",462,490,518
Muskegon County,"132,993",606,643,680
Newaygo County,"115,131",525,556,588
Oakland County,"270,172","1,232","1,305","1,381"
Oceana County,"114,842",524,555,587
Ogemaw County,"96,800",441,468,495
Ontonagon County,"75,085",342,363,384
Osceola County,"98,745",450,477,505
Oscoda County,"90,102",411,435,460
Otsego County,"134,073",611,648,685
Presque Isle County,"105,659",482,510,540
Roscommon County,"101,554",463,491,519
Saginaw County,"112,807",514,545,576
St. Clair County,"171,656",783,829,877
St. Joseph County,"120,136",548,580,614
Sanilac County,"109,441",499,529,559
Schoolcraft County,"113,438",517,548,580
Shiawassee County,"143,904",656,695,735
Tuscola County,"106,740",487,516,545
Van Buren County,"148,536",677,718,759
Washtenaw County,"285,608","1,302","1,380","1,459"
Wayne County,"126,775",578,612,648
Wexford County,"104,255",475,504,533
Aitkin County,"182,360",832,881,932
Anoka County,"250,984","1,145","1,213","1,283"
Becker County,"196,147",894,948,"1,002"
Beltrami County,"164,910",752,797,843
Benton County,"174,914",798,845,894
Big Stone County,"104,483",476,505,534
Blue Earth County,"199,997",912,966,"1,022"
Brown County,"145,737",665,704,745
Carlton County,"173,220",790,837,885
Carver County,"344,435","1,571","1,664","1,760"
Cass County,"192,485",878,930,984
Michigan Minnesota,,,,
Chippewa County,"112,561",513,544,575
Chisago County,"225,329","1,028","1,089","1,151"
Clay County,"176,986",807,855,904
Clearwater County,"132,273",603,639,676
Cook County,"260,022","1,186","1,256","1,329"
Cottonwood County,"96,296",439,465,492
Crow Wing County,"202,610",924,979,"1,035"
Dakota County,"290,395","1,324","1,403","1,484"
Dodge County,"180,398",823,872,922
Douglas County,"212,412",969,"1,026","1,085"
Faribault County,"93,173",425,450,476
Fillmore County,"159,740",728,772,816
Freeborn County,"113,208",516,547,579
Goodhue County,"206,165",940,996,"1,054"
Grant County,"112,992",515,546,577
Hennepin County,"300,111","1,369","1,450","1,534"
Houston County,"175,144",799,846,895
Hubbard County,"196,794",897,951,"1,006"
Isanti County,"188,757",861,912,965
Itasca County,"168,142",767,812,859
Jackson County,"122,902",560,594,628
Kanabec County,"158,555",723,766,810
Kandiyohi County,"179,883",820,869,919
Kittson County,"77,339",353,374,395
Koochiching County,"116,654",532,564,596
Lac qui Parle County,"87,356",398,422,446
Lake County,"178,590",814,863,913
Lake of the Woods County,"138,305",631,668,707
Le Sueur County,"205,411",937,992,"1,050"
Lincoln County,"102,652",468,496,525
Lyon County,"146,383",668,707,748
McLeod County,"162,002",739,783,828
Mahnomen County,"104,806",478,506,536
Marshall County,"112,561",513,544,575
Martin County,"121,071",552,585,619
Meeker County,"174,066",794,841,889
Mille Lacs County,"163,079",744,788,833
Morrison County,"171,373",781,828,876
Mower County,"123,548",563,597,631
Murray County,"116,008",529,560,593
Nicollet County,"191,807",875,927,980
Nobles County,"127,426",581,616,651
Norman County,"95,327",435,461,487
Olmsted County,"241,641","1,102","1,167","1,235"
Otter Tail County,"184,083",839,889,941
Pennington County,"143,583",655,694,734
Pine County,"163,295",745,789,834
Minnesota,,,,
Pipestone County,"98,235",448,475,502
Polk County,"152,758",697,738,781
Pope County,"176,220",804,851,901
Ramsey County,"252,295","1,151","1,219","1,289"
Red Lake County,"115,577",527,558,591
Redwood County,"104,914",478,507,536
Renville County,"107,822",492,521,551
Rice County,"221,137","1,008","1,068","1,130"
Rock County,"143,906",656,695,735
Roseau County,"127,641",582,617,652
St. Louis County,"167,581",764,810,856
Scott County,"320,090","1,460","1,546","1,636"
Sherburne County,"267,469","1,220","1,292","1,367"
Sibley County,"153,816",701,743,786
Stearns County,"191,803",875,927,980
Steele County,"166,203",758,803,849
Stevens County,"162,433",741,785,830
Swift County,"109,976",502,531,562
Todd County,"151,877",693,734,776
Traverse County,"85,956",392,415,439
Wabasha County,"179,754",820,868,919
Wadena County,"128,072",584,619,654
Waseca County,"159,201",726,769,814
Washington County,"315,068","1,437","1,522","1,610"
Watonwan County,"101,790",464,492,520
Wilkin County,"123,225",562,595,630
Winona County,"170,619",778,824,872
Wright County,"249,893","1,140","1,207","1,277"
Yellow Medicine County,"106,745",487,516,545
Adams County,"93,825",428,453,479
Alcorn County,"88,968",406,430,455
Amite County,"80,082",365,387,409
Attala County,"75,122",343,363,384
Benton County,"72,642",331,351,371
Bolivar County,"92,068",420,445,470
Calhoun County,"68,818",314,332,352
Carroll County,"93,928",428,454,480
Chickasaw County,"65,925",301,319,337
Choctaw County,"79,772",364,385,408
Claiborne County,"63,032",287,305,322
Clarke County,"74,398",339,359,380
Clay County,"83,905",383,405,429
Coahoma County,"64,479",294,312,329
Copiah County,"95,925",437,463,490
Covington County,"80,185",366,387,410
DeSoto County,"185,279",845,895,947
Forrest County,"137,041",625,662,700
Minnesota Mississippi,,,,
Franklin County,"77,188",352,373,394
Greene County,"83,388",380,403,426
Grenada County,"96,305",439,465,492
Hancock County,"141,809",647,685,725
Harrison County,"165,728",756,801,847
Hinds County,"128,957",588,623,659
Holmes County,"52,285",238,253,267
Humphreys County,"66,339",303,321,339
Issaquena County,"51,872",237,251,265
Itawamba County,"89,898",410,434,459
Jasper County,"69,542",317,336,355
Jefferson County,"59,002",269,285,302
Jefferson Davis County,"83,285",380,402,426
Jones County,"89,691",409,433,458
Kemper County,"73,262",334,354,374
Lafayette County,"183,206",835,885,936
Lamar County,"176,658",806,854,903
Lauderdale County,"101,264",462,489,517
Lawrence County,"92,068",420,445,470
Leake County,"83,491",381,403,427
Lee County,"136,707",623,660,699
Leflore County,"78,635",359,380,402
Lincoln County,"97,958",447,473,501
Lowndes County,"127,510",581,616,652
Madison County,"235,722","1,075","1,139","1,205"
Marion County,"81,115",370,392,415
Marshall County,"101,817",464,492,520
Monroe County,"90,001",410,435,460
Montgomery County,"80,495",367,389,411
Neshoba County,"83,078",379,401,425
Newton County,"82,975",378,401,424
Noxubee County,"59,312",270,287,303
Oktibbeha County,"151,277",690,731,773
Panola County,"76,258",348,368,390
Pearl River County,"126,994",579,614,649
Perry County,"84,775",387,410,433
Pike County,"90,415",412,437,462
Pontotoc County,"105,501",481,510,539
Prentiss County,"93,515",426,452,478
Quitman County,"53,112",242,257,271
Rankin County,"163,625",746,791,836
Scott County,"73,882",337,357,378
Sharkey County,"52,802",241,255,270
Simpson County,"88,766",405,429,454
Smith County,"82,355",376,398,421
Stone County,"121,627",555,588,622
Sunflower County,"73,985",337,357,378
Mississippi,,,,
Tallahatchie County,"65,512",299,317,335
Tate County,"115,962",529,560,593
Tippah County,"88,865",405,429,454
Tishomingo County,"85,455",390,413,437
Tunica County,"103,653",473,501,530
Union County,"95,581",436,462,488
Walthall County,"105,294",480,509,538
Warren County,"118,417",540,572,605
Washington County,"76,878",351,371,393
Wayne County,"82,768",377,400,423
Webster County,"79,978",365,386,409
Wilkinson County,"62,412",285,302,319
Winston County,"80,185",366,387,410
Yalobusha County,"77,705",354,375,397
Yazoo County,"81,322",371,393,416
Adair County,"123,689",564,598,632
